address,lat,lon
5950 S ILLINOIS AVE CUDAHY WI 53110,42.93632,-87.87431
3500 LIBRARY DR CUDAHY WI 53110,42.95683,-87.86179
5050 S LAKE DR CUDAHY WI 53110,42.9528,-87.84937
5555 S NICHOLSON AVE CUDAHY WI 53110,42.94353,-87.87784
6801 SOUTHWAY GREENDALE WI 53129,42.93345,-88.00003
5900 S 51ST ST GREENDALE WI 53129,42.93662,-87.97709
5701 W COLLEGE AVE GREENDALE WI 53129,42.92975,-87.98668
7000 ENFIELD AVE GREENDALE WI 53129,42.94059,-88.00005
5911 W GRANGE AVE GREENDALE WI 53129,42.94413,-87.98739
5635 S NEW BERLIN RD HALES CORNERS WI 53130,42.94191,-88.06347
7963 S 116TH ST FRANKLIN WI 53132,42.89978,-88.06154
9455 W LOOMIS RD FRANKLIN WI 53132,42.89539,-88.03073
6000 W RYAN RD FRANKLIN WI 53132,42.87279,-87.99064
9229 W LOOMIS RD FRANKLIN WI 53132,42.89878,-88.02903
6941 S 68TH ST FRANKLIN WI 53132,42.91917,-88.00072
9330 S SHEPARD AVE OAK CREEK WI 53154,42.87567,-87.90099
695 COLLEGE AVE SOUTH MILWAUKEE WI 53172,42.92914,-87.85605
800 MARQUETTE AVE SOUTH MILWAUKEE WI 53172,42.90811,-87.85753
2424 15TH AVE SOUTH MILWAUKEE WI 53172,42.90636,-87.87301
1300 E KANE PL MILWAUKEE WI 53202,43.05654,-87.89488
1647 N CASS ST MILWAUKEE WI 53202,43.0517,-87.90245
1633 N ARLINGTON PL MILWAUKEE WI 53202,43.05215,-87.89589
1801 N PROSPECT AVE MILWAUKEE WI 53202,43.05371,-87.89037
841 N BROADWAY MILWAUKEE WI 53202,43.04196,-87.90889
455 E OGDEN AVE MILWAUKEE WI 53202,43.04795,-87.90666
2330 W VIEAU PL MILWAUKEE WI 53204,43.02046,-87.94325
2414 W MITCHELL ST MILWAUKEE WI 53204,43.01269,-87.94424
730 W LAPHAM BLVD MILWAUKEE WI 53204,43.01471,-87.92069
971 W WINDLAKE AVE MILWAUKEE WI 53204,43.00785,-87.92352
1975 S 24TH ST MILWAUKEE WI 53204,43.00884,-87.94433
700 S 4TH ST MILWAUKEE WI 53204,43.02424,-87.9147
1028 S 9TH ST MILWAUKEE WI 53204,43.02065,-87.92207
1515 W LAPHAM BLVD MILWAUKEE WI 53204,43.01353,-87.93122
1021 S 21ST ST MILWAUKEE WI 53204,43.02021,-87.93999
2600 W NATIONAL AVE MILWAUKEE WI 53204,43.02267,-87.94679
1452 N 7TH ST MILWAUKEE WI 53205,43.04967,-87.91969
2035 N 25TH ST MILWAUKEE WI 53205,43.05703,-87.94581
1525 N 24TH ST MILWAUKEE WI 53205,43.05031,-87.94305
2121 W HADLEY ST MILWAUKEE WI 53206,43.06912,-87.93947
3818 N 8TH ST MILWAUKEE WI 53206,43.08683,-87.92056
3239 N 9TH ST MILWAUKEE WI 53206,43.07727,-87.92284
2320 W BURLEIGH ST MILWAUKEE WI 53206,43.07553,-87.94162
2739 N 15TH ST MILWAUKEE WI 53206,43.06846,-87.93185
1011 W CENTER ST MILWAUKEE WI 53206,43.06659,-87.92518
3620 N 18TH ST MILWAUKEE WI 53206,43.08403,-87.93293
2308 W NASH ST MILWAUKEE WI 53206,43.085,-87.94149
1345 W BURLEIGH ST MILWAUKEE WI 53206,43.07462,-87.92881
1530 W ATKINSON AVE MILWAUKEE WI 53206,43.08734,-87.9303
2900 S SHORE DR MILWAUKEE WI 53207,42.99382,-87.88109
2325 S HOWELL AVE MILWAUKEE WI 53207,43.00219,-87.90524
3700 S 2ND ST MILWAUKEE WI 53207,42.97747,-87.9124
4348 S GRIFFIN AVE MILWAUKEE WI 53207,42.96552,-87.90398
3912 S HOWELL AVE MILWAUKEE WI 53207,42.9735,-87.90904
2566 S KINNICKINNIC AVE MILWAUKEE WI 53207,42.99825,-87.9
3239 S PENNSYLVANIA AVE MILWAUKEE WI 53207,42.98586,-87.88045
2969 S HOWELL AVE MILWAUKEE WI 53207,42.99112,-87.90513
3000 S HOWELL AVE MILWAUKEE WI 53207,42.98987,-87.90351
3666 S CLEMENT AVE MILWAUKEE WI 53207,42.97776,-87.89327
1945 N 31ST ST MILWAUKEE WI 53208,43.05606,-87.95297
1312 N 27TH ST MILWAUKEE WI 53208,43.04765,-87.94719
3334 W HIGHLAND BLVD MILWAUKEE WI 53208,43.04493,-87.95638
