address,lat,lon
2320 ALPINE RD EAU CLAIRE WI 54703,44.84383,-91.54135
2407 NORTH LN EAU CLAIRE WI 54703,44.85495,-91.47567
1300 STARR AVE EAU CLAIRE WI 54703,44.83043,-91.47992
634 WATER ST EAU CLAIRE WI 54703,44.80242,-91.51334
337 LAKE ST EAU CLAIRE WI 54703,44.80667,-91.50736
3510 STARR AVE EAU CLAIRE WI 54703,44.85924,-91.47871
3036 EPIPHANY LN EAU CLAIRE WI 54703,44.83029,-91.54288
1814 N OXFORD AVE EAU CLAIRE WI 54703,44.81787,-91.50974
2015 N HASTINGS WAY EAU CLAIRE WI 54703,44.83882,-91.47255
3120 BIRCH ST EAU CLAIRE WI 54703,44.82236,-91.46547
1120 CEDAR ST EAU CLAIRE WI 54703,44.82219,-91.52578
3826 STATE HIGHWAY 64 BLOOMER WI 54724,45.1428,-91.60764
15751 40TH ST BLOOMER WI 54724,45.07007,-91.59048
16738 125TH ST BLOOMER WI 54724,45.08542,-91.41785
402 26TH AVE BLOOMER WI 54724,45.09108,-91.47792
21281 STATE HIGHWAY 40 BLOOMER WI 54724,45.15339,-91.44291
705 E MURRAY ST BOYD WI 54726,44.95124,-91.03685
31595 COUNTY HIGHWAY MM BOYD WI 54726,44.82877,-90.98168
11528 320TH ST BOYD WI 54726,45.00981,-91.02514
426 MYRTLE ST CADOTT WI 54727,44.94972,-91.14752
5511 STATE HIGHWAY 27 CADOTT WI 54727,44.92222,-91.14529
8985 257TH STREET CADOTT WI 54727,44.97331,-91.15141
25091 COUNTY HWY S CADOTT WI 54727,45.04666,-91.16763
733 WOODWARD AVE CHIPPEWA FALLS WI 54729,44.91809,-91.38722
105 W CENTRAL ST CHIPPEWA FALLS WI 54729,44.93517,-91.39374
1300 MANSFIELD ST CHIPPEWA FALLS WI 54729,44.93798,-91.41754
1000 E GRAND AVE CHIPPEWA FALLS WI 54729,44.94421,-91.38227
4975 COUNTY HIGHWAY T CHIPPEWA FALLS WI 54729,44.91498,-91.5486
5765 197TH ST CHIPPEWA FALLS WI 54729,44.92622,-91.27388
10790 100TH AVE CHIPPEWA FALLS WI 54729,44.98786,-91.45255
13034 30TH AVE CHIPPEWA FALLS WI 54729,44.88808,-91.4056
13136 30TH AVE CHIPPEWA FALLS WI 54729,44.88694,-91.40493
14802 STATE HIGHWAY 124 CHIPPEWA FALLS WI 54729,45.05762,-91.39023
4052 COUNTY HIGHWAY B COLFAX WI 54730,45.00897,-91.58917
22111 270TH ST CORNELL WI 54732,45.16469,-91.13093
20470 STATE HIGHWAY 64 CORNELL WI 54732,45.13829,-91.26502
102 N 3RD ST CORNELL WI 54732,45.16763,-91.14919
26194 276TH ST HOLCOMBE WI 54745,45.22292,-91.117
26755 240TH ST HOLCOMBE WI 54745,45.23098,-91.19301
13836 COUNTY HIGHWAY S S JIM FALLS WI 54748,45.08937,-91.39231
10770 270TH AVE NEW AUBURN WI 54757,45.23706,-91.50948
33150 280TH AVE SHELDON WI 54766,45.24926,-91.00384
18476 COUNTY HIGHWAY S N STANLEY WI 54768,45.1105,-90.98785
239 E 1ST AVE STANLEY WI 54768,44.95974,-90.93323
