,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,349537157,2005,post_office,Randolph Post Office,-89.0073333000,43.5383193000,-89.00733,43.53832
1,349537188,2005,post_office,Pardeeville Post Office,-89.3053528000,43.5270237000,-89.30535,43.52702
2,367808818,2007,library,Angie Williams Cox Public Library,-89.3005388000,43.5371581000,-89.30054,43.53716
3,367808819,2007,library,Zona Gale Breese Memorial Library,-89.4653981000,43.5433151000,-89.4654,43.54332
4,367808956,2099,public_building,Portage Municipal Building,-89.4608366000,43.5409296000,-89.46084,43.54093
5,367810414,2008,town_hall,Randolph Village Hall,-89.0087223000,43.5380416000,-89.00872,43.53804
6,848398747,2002,fire_station,Lodi Fire Station,-89.5274431000,43.3144064000,-89.52744,43.31441
7,1104210777,2005,post_office,,-89.2393682000,43.4492972000,-89.23937,43.4493
8,1357236034,2001,police,,-89.7733765000,43.6263088000,-89.77338,43.62631
9,2069281101,2002,fire_station,Wisconsin Dells Fire  Station,-89.7695893000,43.6349667000,-89.76959,43.63497
10,2797760703,2008,town_hall,Town of Leeds Town Hall,-89.3071926000,43.3313389000,-89.30719,43.33134
11,2797921519,2008,town_hall,,-89.1507024000,43.4275873000,-89.1507,43.42759
12,4379927506,2002,fire_station,Columbus Wisconsin Fire Department,-89.0158321000,43.3375183000,-89.01583,43.33752
13,4379927910,2001,police,Columbus Wisconsin Police Department,-89.0153359000,43.3375749000,-89.01534,43.33757
14,4379928071,2005,post_office,United States Post Office,-89.0166448000,43.3379534000,-89.01664,43.33795
15,4405228864,2008,town_hall,Columbus City Hall,-89.0158644000,43.3393742000,-89.01586,43.33937
16,4802795102,2007,library,Columbus Wisconsin Public Library,-89.0163461000,43.3390830000,-89.01635,43.33908
