address,lat,lon
N1306 BOLTONVILLE RD ADELL WI 53001,43.58705,-88.10049
508 SEIFERT ST ADELL WI 53001,43.61918,-87.95057
301 1ST ST CASCADE WI 53011,43.65585,-88.01082
W8095 PARNELL RD CASCADE WI 53011,43.66647,-88.09964
W3005 COUNTY ROAD G CEDAR GROVE WI 53013,43.58179,-87.84581
131 VAN ALTENA AVE CEDAR GROVE WI 53013,43.57095,-87.82393
W5250 COUNTY ROAD FF ELKHART LAKE WI 53020,43.84838,-87.96038
84 N LAKE ST ELKHART LAKE WI 53020,43.83438,-88.0181
N9691 COUNTY ROAD H ELKHART LAKE WI 53020,43.89143,-88.12202
N6644 SUGARBUSH RD GLENBEULAH WI 53023,43.78004,-88.08164
110 N SWIFT ST GLENBEULAH WI 53023,43.79781,-88.04799
319 HIGHLAND DR KOHLER WI 53044,43.73805,-87.78031
1140 MINNESOTA AVE OOSTBURG WI 53070,43.6304,-87.79549
W6081 COUNTY ROAD N PLYMOUTH WI 53073,43.68876,-88.00019
128 SMITH ST PLYMOUTH WI 53073,43.7483,-87.97934
120 SUHRKE RD PLYMOUTH WI 53073,43.75716,-87.98351
N8139 FRANKLIN RD PLYMOUTH WI 53073,43.8347,-87.90327
718 N SPRING ST RANDOM LAKE WI 53075,43.55585,-87.96893
W6566 STATE HIGHWAY 144 RANDOM LAKE WI 53075,43.55738,-88.02404
5933 S BUSINESS DR SHEBOYGAN WI 53081,43.68485,-87.75231
310 BLUFF AVE SHEBOYGAN WI 53081,43.76683,-87.7051
1710 N 15TH ST SHEBOYGAN WI 53081,43.7639,-87.72596
1315 WASHINGTON AVE SHEBOYGAN WI 53081,43.71881,-87.72303
1614 S 23RD ST SHEBOYGAN WI 53081,43.73703,-87.73582
710 N 8TH ST SHEBOYGAN WI 53081,43.75235,-87.71341
1943 ERIE AVE SHEBOYGAN WI 53081,43.75536,-87.73319
828 CENTER AVE SHEBOYGAN WI 53081,43.75113,-87.71411
W982 COUNTY ROAD FF SHEBOYGAN WI 53083,43.85008,-87.74516
913 S WISCONSIN DR HOWARDS GROVE WI 53083,43.82478,-87.82477
3401 CALUMET DR SHEBOYGAN WI 53083,43.78182,-87.74654
3911 COUNTY ROAD Y SHEBOYGAN WI 53083,43.7851,-87.77902
375 BUFFALO ST SHEBOYGAN FALLS WI 53085,43.72895,-87.81344
W3860 COUNTY ROAD O SHEBOYGAN FALLS WI 53085,43.76825,-87.88984
N3689 COUNTY ROAD I SHEBOYGAN FALLS WI 53085,43.6737,-87.8713
810 W 2ND ST WALDO WI 53093,43.67587,-87.95266
