address,lat,lon
2399 90TH AVE BALDWIN WI 54002,44.99005,-92.31906
400 CEDAR ST BALDWIN WI 54002,44.95661,-92.3684
2008 COUNTY RD N BALDWIN WI 54002,44.92031,-92.3945
2245 COUNTY ROAD T DEER PARK WI 54007,45.1873,-92.43643
121 FRONT ST W DEER PARK WI 54007,45.18804,-92.38678
121 FRONT ST W DEER PARK WI 54007,45.18804,-92.38678
217 W OAK ST GLENWOOD CITY WI 54013,45.05899,-92.17452
856 310TH ST GLENWOOD CITY WI 54013,45.0661,-92.17668
2432 COUNTY ROAD G EMERALD WI 54013,45.0777,-92.31324
1895 COUNTY ROAD D EMERALD WI 54013,45.13595,-92.25959
3099 160TH AVE GLENWOOD CITY WI 54013,45.09038,-92.17752
1630 30TH AVE HAMMOND WI 54015,44.9059,-92.4706
1816 COUNTY RD E HAMMOND WI 54015,45.00674,-92.43187
455 DAVIS ST HAMMOND WI 54015,44.9814,-92.43682
1401 LAUREL AVE HUDSON WI 54016,44.97091,-92.73996
222 WALNUT ST HUDSON WI 54016,44.97451,-92.75562
777 CARMICHAEL RD HUDSON WI 54016,44.97496,-92.71991
980 COUNTY ROAD A HUDSON WI 54016,45.00376,-92.6763
400 7TH ST N HUDSON WI 54016,44.99333,-92.75581
1337 COUNTY ROAD V HUDSON WI 54016,45.05652,-92.73899
654 GLOVER RD HUDSON WI 54016,44.91448,-92.66972
1952 COUNTY ROAD G NEW RICHMOND WI 54017,45.07943,-92.40565
156 E 1ST ST NEW RICHMOND WI 54017,45.12242,-92.53644
1428 100TH ST NEW RICHMOND WI 54017,45.06796,-92.59899
140 UNION ST RIVER FALLS WI 54022,44.86396,-92.62237
222 LEWIS ST RIVER FALLS WI 54022,44.8601,-92.62707
818 CEMETERY RD RIVER FALLS WI 54022,44.83955,-92.61536
1110 S MAIN ST RIVER FALLS WI 54022,44.84667,-92.6266
1271 COUNTY ROAD J RIVER FALLS WI 54022,44.91226,-92.54398
107 E MAPLE ST ROBERTS WI 54023,44.9842,-92.55389
720 112TH ST ROBERTS WI 54023,44.96437,-92.57508
2118 COOK DR SOMERSET WI 54025,45.15898,-92.60199
748 STATE HIGHWAY 35 SOMERSET WI 54025,45.12433,-92.66288
110 SPRING ST SOMERSET WI 54025,45.12375,-92.67342
207 BRIDGE AVE STAR PRAIRIE WI 54026,45.19667,-92.53021
398 STATE ROAD 128 WILSON WI 54027,44.91371,-92.19716
440 MAIN ST WILSON WI 54027,44.95378,-92.17266
285 COUNTY ROAD BB WOODVILLE WI 54028,44.89999,-92.31878
102 S MAIN ST WOODVILLE WI 54028,44.95131,-92.29313
