address,lat,lon
127 FIRST ST ALLENTON WI 53002,43.4199,-88.33545
6030 MOHAWK RD CAMPBELLSPORT WI 53010,43.51528,-88.33877
W164N11325 SQUIRE DR GERMANTOWN WI 53022,43.22326,-88.11476
N108W14290 BEL AIRE LN GERMANTOWN WI 53022,43.21452,-88.0871
N120W15932 FREISTADT RD GERMANTOWN WI 53022,43.23601,-88.10679
W156N10041 PILGRIM RD GERMANTOWN WI 53022,43.19977,-88.10458
1846 STATE ROAD 83 HARTFORD WI 53027,43.2576,-88.36962
109 N MAIN ST HARTFORD WI 53027,43.31942,-88.37937
125 N RURAL ST HARTFORD WI 53027,43.31952,-88.38261
100 PARK AVE HARTFORD WI 53027,43.31882,-88.37699
3360 COUNTY ROAD K HARTFORD WI 53027,43.31315,-88.35215
3146 DIVISION RD JACKSON WI 53037,43.30337,-88.11935
N168W20733 MAIN ST JACKSON WI 53037,43.32376,-88.16507
9422 STATE ROAD 144 KEWASKUM WI 53040,43.53143,-88.0939
3482 TOWN HALL RD KEWASKUM WI 53040,43.46373,-88.21047
9019 KETTLE MORAINE DR KEWASKUM WI 53040,43.5177,-88.18146
N132W18473 ROCKFIELD RD RICHFIELD WI 53076,43.25687,-88.13736
300 SLINGER RD SLINGER WI 53086,43.32797,-88.2798
3680 STATE ROAD 60 SLINGER WI 53086,43.32519,-88.22037
2151 N MAIN ST WEST BEND WI 53090,43.44885,-88.18998
333 E WASHINGTON ST WEST BEND WI 53095,43.42603,-88.17555
1115 S MAIN ST WEST BEND WI 53095,43.42252,-88.18153
432 E WASHINGTON ST WEST BEND WI 53095,43.42818,-88.17266
2300 S MAIN ST WEST BEND WI 53095,43.39235,-88.18317
6355 COUNTY ROAD Z WEST BEND WI 53095,43.42173,-88.24122
1071 HIGHWAY 33 WEST BEND WI 53095,43.42488,-88.09
4014 STATE ROAD 167 RICHFIELD WI 53076,43.25265,-88.23937
620 WEST MAIN ST NEWBURG WI 53060,43.43359,-88.04759
