geoid,countyfp,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55071000100,71,0.06043,0.01104,1,0.89271,0,0.09774,0,0.08243,0,0.09583,0,0.02167,1,0.01027,1,0.01252,1,0.92658,0,0.07056,0,5236,20.82321,251.45015,0.23537,0,0.06236,0.2762,0.16694,0.35698,0.14157
55071000200,71,0.04182,0.02286,1,0.93327,0,0.19022,0,0.19045,0,0.05556,0,0.04462,1,0.0,1,0.04506,1,0.88714,0,0.02905,0,2404,7.1879,334.45094,0.0,1,0.03408,0.32034,0.10051,0.11162,0.45931
55071000300,71,0.03163,0.00198,1,0.91639,0,0.09105,0,0.06192,0,0.05687,0,0.03391,1,0.00174,1,0.00748,1,0.95687,0,0.0742,0,5615,23.1338,242.7184,0.09697,0,0.07323,0.33796,0.04806,0.37472,0.33811
55071000400,71,0.07479,0.01798,1,0.96047,0,0.09789,0,0.12725,0,0.08067,0,0.0242,1,0.03487,1,0.08301,0,0.84257,0,0.0458,0,4176,4.43739,941.09474,0.366,0,0.032,0.32588,0.2296,0.32494,0.31824
55071000500,71,0.07503,0.03266,1,0.89089,0,0.13364,0,0.19739,0,0.11618,0,0.06178,1,0.06248,1,0.05651,1,0.80204,0,0.03301,0,2850,1.94759,1463.35069,0.3811,0,0.02408,0.20984,0.18256,0.22169,0.25189
55071000600,71,0.20437,0.04123,0,0.88206,0,0.1561,0,0.1502,0,0.05651,0,0.09301,0,0.0,1,0.07634,0,0.80434,0,0.06869,0,5369,18.00145,298.25375,0.34352,0,0.05477,0.23724,0.20802,0.15701,0.22911
55071000700,71,0.04834,0.0764,0,0.86934,0,0.08082,0,0.21775,0,0.07936,0,0.085,0,0.00983,1,0.06644,0,0.81034,0,0.06546,0,5901,10.72923,549.99293,0.33872,0,0.05093,0.2606,0.15097,0.15546,0.28855
55071000800,71,0.08087,0.04607,0,0.95865,0,0.10399,0,0.19505,0,0.09001,0,0.09162,0,0.01527,1,0.06858,0,0.79025,0,0.04709,0,4046,9.5996,421.47586,0.24643,0,0.04073,0.23399,0.22502,0.10603,0.21594
55071005100,71,0.02609,0.00427,1,0.92642,0,0.10908,0,0.12742,0,0.06591,0,0.01627,1,0.00285,1,0.02644,1,0.91741,0,0.03326,0,2430,9.4349,257.55429,0.33328,0,0.02413,0.34108,0.62852,0.0,0.25926
55071005200,71,0.01126,0.02241,1,0.95794,0,0.08473,0,0.07748,0,0.06411,0,0.0,1,0.00159,1,0.02266,1,0.96828,0,0.05801,0,4551,10.90231,417.43431,0.2043,0,0.04442,0.3968,0.20942,0.0,0.31933
55071005300,71,0.02078,0.00968,1,0.90471,0,0.10952,0,0.13323,0,0.09957,0,0.00711,1,0.0,1,0.08867,0,0.88431,0,0.02565,0,2071,1.14216,1813.23432,0.41125,0,0.01548,0.35768,0.17641,0.0,0.3269
55071005400,71,0.03361,0.03745,1,0.95843,0,0.12968,0,0.14856,0,0.08801,0,0.02318,1,0.03803,1,0.03694,1,0.85585,0,0.03593,0,3116,15.92045,195.72311,0.38517,0,0.02694,0.20672,0.41963,0.00055,0.17933
55071010100,71,0.06384,0.01535,0,0.98208,0,0.08521,0,0.06502,0,0.06068,0,0.00342,1,0.00091,1,0.03946,0,0.95005,0,0.05623,0,4507,192.79046,23.37771,0.20019,0,0.06753,0.09544,0.02529,0.16667,0.09923
55071010200,71,0.02315,0.00207,1,0.97971,0,0.06294,0,0.04318,0,0.07786,0,0.0025,1,0.00054,1,0.00536,1,0.98339,0,0.07306,0,5891,289.19364,20.37043,0.17154,0,0.09172,0.08123,0.67768,0.00278,0.24822
55071010300,71,0.01988,0.01722,0,0.96935,0,0.07642,0,0.07911,0,0.07701,0,0.00209,1,0.00046,1,0.01972,0,0.96428,0,0.053,0,4493,280.52721,16.01627,0.18011,0,0.06498,0.07729,0.28337,,0.13974
55071010400,71,0.05428,0.01351,0,0.9751,0,0.06628,0,0.05747,0,0.08096,0,0.00066,1,0.00066,1,0.03373,0,0.95952,0,0.07525,0,6182,281.41729,21.96738,0.14957,0,0.09786,0.06302,0.00082,1.0,0.07965
55071010500,71,0.04336,0.01218,0,0.97703,0,0.05423,0,0.0918,0,0.07427,0,0.00319,1,0.01422,1,0.0029,1,0.96809,0,0.04491,0,3636,140.65087,25.85124,0.08023,0,0.0618,0.12676,0.24953,0.38026,0.13631
55071010600,71,0.04837,0.02929,0,0.97834,0,0.08867,0,0.04111,0,0.06285,0,0.0033,1,0.00543,1,0.05567,0,0.92299,0,0.06311,0,5103,237.83074,21.45644,0.13777,0,0.0821,0.10307,0.16678,0.00135,0.18992
55071010700,71,0.03811,0.0,1,0.95816,0,0.09561,0,0.07909,0,0.06322,0,0.0,1,0.00176,1,0.01856,1,0.97893,0,0.04774,0,3865,23.20427,166.56416,0.16647,0,0.05086,0.21229,0.2,0.0,0.17785
