address,lat,lon
S6911 STATE ROAD 113 MERRIMAC WI 53561,43.39426,-89.67568
100 COOK ST MERRIMAC WI 53561,43.37255,-89.62432
550 MAIN ST PLAIN WI 53577,43.27892,-90.03845
510 MAIN ST PLAIN WI 53577,43.27926,-90.03696
S9497 COUNTY ROAD G PLAIN WI 53577,43.76994,-90.09799
S9903 US HIGHWAY 12 PRAIRIE DU SAC WI 53578,43.28502,-89.75972
335 GALENA ST PRAIRIE DU SAC WI 53578,43.29158,-89.72329
E4411 KENNEDY RD SPRING GREEN WI 53588,43.17659,-90.09943
230 E MONROE ST SPRING GREEN WI 53588,43.17767,-90.06616
S10372 COUNTY ROAD C SPRING GREEN WI 53588,43.26839,-89.92678
124 2ND ST BARABOO WI 53913,43.46848,-89.7413
101 CEDAR ST BARABOO WI 53913,43.47029,-89.7637
500 CEDAR ST BARABOO WI 53913,43.47308,-89.76333
E12891 COUNTY ROAD U BARABOO WI 53913,43.5395,-89.68013
E13098 COUNTY ROAD W BARABOO WI 53913,43.46163,-89.67076
310 S STATE ROAD 58 CAZENOVIA WI 53924,43.5263,-90.19605
S6101 STATE ROAD 154 HILLPOINT WI 53937,43.42359,-90.11276
314 STATE ROAD 33/58 LA VALLE WI 53941,43.58643,-90.12902
101 W MAIN ST LA VALLE WI 53941,43.58191,-90.12997
600 STATE ST LA VALLE WI 53941,43.54761,-90.14489
200 MILL ST LOGANVILLE WI 53943,43.44122,-90.03754
140 WEST ST LOGANVILLE WI 53943,43.44089,-90.03828
E8062 COUNTY ROAD H LYNDON STATION WI 53944,43.593,-89.91852
105 N MAPLE ST NORTH FREEDOM WI 53951,43.46083,-89.86706
105 N MAPLE ST NORTH FREEDOM WI 53951,43.46083,-89.86706
E10496 COUNTY ROAD C NORTH FREEDOM WI 53951,43.35832,-89.79911
E8712 COUNTY ROAD C NORTH FREEDOM WI 53951,43.33368,-89.86438
134 S LOCUST ST REEDSBURG WI 53959,43.53189,-90.00543
600 W MAIN ST REEDSBURG WI 53959,43.53309,-90.02328
S1992 COUNTY ROAD K REEDSBURG WI 53959,43.5734,-89.99794
E4206 OLD K RD REEDSBURG WI 53959,43.49113,-90.12308
105 E BROADWAY ROCK SPRINGS WI 53961,43.47743,-89.91382
100 E BROADWAY ROCK SPRINGS WI 53961,43.47823,-89.91472
30 WISCONSIN DELLS PKWY WISCONSIN DELLS WI 53965,43.58986,-89.79319
S548 COUNTY ROAD G WONEWOC WI 53968,43.62504,-90.24094
726 WATER ST SAUK CITY WI 53583,43.27244,-89.72075
50 S WISCONSIN DELLS PKWY LAKE DELTON WI 53940,43.58996,-89.79325
109 S MAIN ST LIME RIDGE WI 53942,43.46611,-90.15549
