geoid,countyfp,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55039040100,39,0.01234,0.01204,1,0.97213,0,0.06375,0,0.06207,0,0.09825,0,0.00709,1,0.01228,1,0.04889,1,0.89797,0,0.0439,0,4237,3.55532,1191.73642,0.36242,0,0.03364,0.27592,0.23279,0.28666,0.21468
55039040200,39,0.02436,0.05356,1,0.92624,0,0.09361,0,0.15029,0,0.05764,0,0.0,1,0.05576,1,0.08083,1,0.81422,0,0.02711,0,3021,2.78337,1085.37464,0.37992,0,0.02189,0.22179,0.22029,0.0,0.10019
55039040300,39,0.05885,0.0475,1,0.89107,0,0.12682,0,0.19041,0,0.10285,0,0.03021,1,0.02034,1,0.15301,0,0.77494,0,0.04748,0,5619,3.98732,1409.21635,0.58025,0,0.02526,0.25076,0.21063,0.29235,0.12323
55039040400,39,0.01518,0.0083,1,0.93871,0,0.11506,0,0.02849,1,0.05442,0,0.00804,1,0.00037,1,0.07012,0,0.9149,0,0.02826,0,2849,2.00651,1419.87963,0.45045,0,0.01778,0.25716,0.10169,0.00752,0.05958
55039040500,39,0.0976,0.02276,0,0.70841,0,0.15744,0,0.25823,0,0.12661,0,0.04246,1,0.06621,0,0.08491,0,0.73844,0,0.03826,0,3875,1.76137,2199.9943,0.45808,0,0.0241,0.24052,0.06805,0.0,0.081
55039040700,39,0.27939,0.01313,1,0.97633,0,0.07239,0,0.12593,0,0.08982,0,0.04775,1,0.04169,1,0.05211,0,0.85143,0,0.04825,0,4263,47.96911,88.86969,0.0,1,0.06516,0.26208,0.17062,0.20695,0.19077
55039040800,39,0.00699,0.02048,1,0.93646,0,0.11564,0,0.11159,0,0.08592,0,0.01097,1,0.01371,1,0.09552,1,0.83592,0,0.03941,0,4571,1.45449,3142.67943,0.36015,0,0.03224,0.21257,0.09485,0.00099,0.20632
55039040900,39,0.06131,0.01173,1,0.88088,0,0.08243,0,0.06577,0,0.09793,0,0.05241,1,0.0,1,0.0566,0,0.87002,0,0.03384,0,3263,1.76948,1844.04492,0.28702,0,0.02627,0.34298,0.16312,0.19933,0.23167
55039041000,39,0.0107,0.02139,1,0.90842,0,0.14621,0,0.12189,0,0.07131,0,0.01906,1,0.01807,1,0.04699,1,0.87677,0,0.0298,0,2814,2.4185,1163.53174,0.28481,0,0.02407,0.2948,0.13783,0.14011,0.38192
55039041100,39,0.11619,0.03253,1,0.93625,0,0.05089,0,0.07618,0,0.12125,0,0.00092,1,0.00555,1,0.05405,1,0.90362,0,0.0926,0,9745,25.48655,382.35851,0.05884,0,0.09571,0.30984,0.26811,0.22769,0.30354
55039041300,39,0.0255,0.03137,0,0.93852,0,0.1024,0,0.13893,0,0.0943,0,0.0,1,0.03183,0,0.0589,0,0.89231,0,0.06286,0,6573,33.51408,196.12655,0.22905,0,0.05188,0.32048,0.23914,0.24168,0.32566
55039041400,39,0.02053,0.01331,1,0.99141,0,0.05797,0,0.05247,0,0.06512,0,0.019,1,0.00086,1,0.01347,0,0.95906,0,0.05947,0,5893,345.22655,17.06995,0.12339,0,0.07778,0.10352,0.00016,0.0,0.10636
55039041500,39,0.05348,0.02345,1,0.83865,0,0.09424,0,0.08709,0,0.04082,0,0.01657,1,0.0046,1,0.04174,1,0.93217,0,0.03223,0,3096,53.98277,57.35164,0.14794,0,0.03408,0.21739,0.4206,0.45736,0.17848
55039041600,39,0.0441,0.01455,1,0.9553,0,0.04975,0,0.13068,0,0.16132,0,0.01063,0,0.0012,1,0.03634,0,0.93108,0,0.05723,0,6037,39.75966,151.83732,0.29027,0,0.04862,0.27953,0.2436,0.14898,0.28943
55039041700,39,0.02082,0.0134,1,0.98952,0,0.06561,0,0.0475,0,0.07503,0,0.00201,1,0.0,1,0.02811,1,0.95483,0,0.03864,0,3986,282.58261,14.10561,0.16023,0,0.04853,0.07875,0.0,,0.1548
55039041800,39,0.03239,0.00523,1,0.98586,0,0.05504,0,0.0508,0,0.05529,0,0.00559,1,0.0,1,0.03665,1,0.93456,0,0.04627,0,4851,94.28819,51.44865,0.15405,0,0.04869,0.24532,0.15386,0.0,0.16669
55039041900,39,0.04343,0.00969,0,0.97203,0,0.08144,0,0.05557,0,0.06391,0,0.00748,1,0.00494,0,0.03287,0,0.94131,0,0.07171,0,7180,378.48977,18.97013,0.16498,0,0.09026,0.09642,0.00032,0.0,0.0817
55039042000,39,0.02383,0.01273,1,0.96563,0,0.07603,0,0.03255,0,0.07979,0,0.01077,1,0.01609,0,0.03298,0,0.92157,0,0.09221,0,8718,171.98807,50.68956,0.1739,0,0.09822,0.24651,0.29703,0.49344,0.31761
55039042100,39,0.0228,0.00441,1,0.9687,0,0.04487,0,0.05373,0,0.07508,0,0.00292,1,0.00021,1,0.00667,1,0.9806,0,0.0496,0,4927,301.94313,16.31764,0.20162,0,0.06199,0.09007,0.00011,0.75,0.18468
55039042200,39,0.0302,0.00492,1,0.96889,0,0.08094,0,0.04738,0,0.06579,0,0.00423,1,0.00049,1,0.02019,0,0.9531,0,0.06088,0,6115,188.54935,32.43183,0.16146,0,0.07383,0.11225,0.0,0.0,0.16473
