address,lat,lon
W1195 MARIETTA AVE IXONIA WI 53036,43.14243,-88.59199
W6335 COUNTY ROAD A JOHNSON CREEK WI 53038,43.10073,-88.84637
417 UNION ST JOHNSON CREEK WI 53038,43.08305,-88.77521
6996 PENNSYLVANIA ST OCONOMOWOC WI 53066,43.14706,-88.5188
N6468 S FARMINGTON RD WATERTOWN WI 53094,43.07663,-88.67194
106 JONES ST WATERTOWN WI 53094,43.19598,-88.72328
N8302 HIGH RD WATERTOWN WI 53094,43.14633,-88.73581
514 S 1ST ST WATERTOWN WI 53094,43.19085,-88.72513
W1125 STATE ROAD 106 PALMYRA WI 53156,42.88342,-88.59428
123 BURR OAK ST PALMYRA WI 53156,42.87469,-88.59254
W1095 CONCORD CENTER DR SULLIVAN WI 53178,43.06659,-88.58967
N3866 WEST ST SULLIVAN WI 53178,42.98045,-88.6328
408 GROVE ST SULLIVAN WI 53178,43.01497,-88.58872
N1409 FREMONT RD WHITEWATER WI 53190,42.89065,-88.7398
200 SPRING ST CAMBRIDGE WI 53523,43.00288,-89.01745
N4450 COUNTY ROAD A CAMBRIDGE WI 53523,43.00736,-88.96782
N1525 CHURCH ST EDGERTON WI 53534,42.89919,-88.98793
N2313 COUNTY ROAD D FORT ATKINSON WI 53538,42.92385,-88.69306
W5609 STAR SCHOOL RD FORT ATKINSON WI 53538,42.87972,-88.81368
101 N MAIN ST FORT ATKINSON WI 53538,42.9293,-88.83761
W6260 COUNTY ROAD B JEFFERSON WI 53549,43.07273,-88.84397
317 S MAIN ST JEFFERSON WI 53549,43.00287,-88.80757
434 COUNTY ROAD Y JEFFERSON WI 53549,43.00147,-88.78262
200 WATER ST LAKE MILLS WI 53551,43.07843,-88.91137
1111 S MAIN ST LAKE MILLS WI 53551,43.06532,-88.91416
136 N MONROE ST WATERLOO WI 53594,43.18458,-88.99007
N8193 N8193 STATE ROAD 89 WATERLOO WI 53594,43.14318,-88.95377
