geoid,countyfp,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55131400102,131,0.01132,0.0125,1,0.98838,0,0.06271,0,0.02363,0,0.09589,0,0.00288,1,0.01677,1,0.05004,0,0.92586,0,0.02989,0,3931,9.43735,416.5364,0.53853,0,0.01698,0.27701,0.47046,0.0,0.21963
55131400103,131,0.00853,0.01289,1,0.98581,0,0.06737,0,0.0351,0,0.0482,0,0.0,1,0.0058,1,0.01337,1,0.98082,0,0.03003,0,4014,95.30307,42.11826,0.19978,0,0.03617,0.14352,0.49979,0.0,0.15067
55131400104,131,0.02686,0.01032,1,0.9761,0,0.0377,0,0.02611,0,0.10376,0,0.02577,1,0.02147,1,0.01477,1,0.92132,0,0.04546,0,5715,84.50275,67.63094,0.02263,0,0.05701,0.26439,0.25433,0.22658,0.27041
55131410100,131,0.02459,0.01487,1,0.98884,0,0.08691,0,0.05454,0,0.04914,0,0.00154,1,0.01176,1,0.06957,0,0.91636,0,0.03765,0,5057,63.05763,80.19648,0.11714,0,0.0434,0.24046,0.33335,0.00059,0.22226
55131420103,131,0.08516,0.00524,1,0.92828,0,0.11836,0,0.02429,0,0.09029,0,0.00347,1,0.0,1,0.02474,1,0.95619,0,0.05002,0,6039,45.10037,133.90133,0.0,1,0.05854,0.32912,0.372,0.0,0.2572
55131420104,131,0.02594,0.00752,1,0.93364,0,0.10175,0,0.03865,0,0.07661,0,0.00665,1,0.00129,1,0.00901,1,0.9676,0,0.03576,0,5096,54.20674,94.01045,0.0,1,0.04535,0.29159,0.11378,0.65469,0.26767
55131420105,131,0.03737,0.00809,1,0.96315,0,0.11659,0,0.06971,0,0.09216,0,0.00191,1,0.02017,1,0.03674,0,0.92376,0,0.03454,0,4671,6.95876,671.23996,0.17707,0,0.03297,0.29445,0.47156,0.06958,0.14877
55131420106,131,0.00181,0.02492,1,0.95468,0,0.10562,0,0.09522,0,0.0699,0,0.00058,1,0.0,1,0.09185,0,0.89659,0,0.02435,0,3619,5.69475,635.49816,0.14095,0,0.02581,0.2727,0.22009,0.9998,0.09371
55131420200,131,0.05034,0.02848,1,0.97188,0,0.07859,0,0.07138,0,0.0538,0,0.01072,1,0.0,1,0.02215,1,0.96167,0,0.04104,0,5408,5.30026,1020.32817,0.28031,0,0.02942,0.41786,0.15509,0.0,0.47247
55131420300,131,0.04594,0.02772,1,0.89964,0,0.06411,0,0.08152,0,0.10629,0,0.01516,1,0.04324,1,0.04599,0,0.86804,0,0.04085,0,5873,4.84381,1212.4747,0.27158,0,0.03194,0.34656,0.3475,0.00034,0.38203
55131420401,131,0.03422,0.00276,1,0.89633,0,0.10207,0,0.14743,0,0.07782,0,0.0,1,0.0,1,0.04064,1,0.94769,0,0.01747,0,1933,1.33318,1449.91493,0.33309,0,0.0121,0.33069,0.15363,0.0,0.3575
55131420402,131,0.01255,0.01834,1,0.92943,0,0.1047,0,0.05885,0,0.05517,0,0.01195,1,0.01103,1,0.02529,1,0.95172,0,0.01708,0,2093,1.74583,1198.85925,0.30818,0,0.01401,0.30545,0.03511,,0.08893
55131430100,131,0.04174,0.01584,0,0.9906,0,0.06958,0,0.02259,0,0.06095,0,0.00155,1,0.00585,1,0.05992,1,0.91426,0,0.04362,0,5664,186.08392,30.43788,0.13944,0,0.05306,0.16759,0.0,0.0,0.27613
55131440103,131,0.10711,0.00897,1,0.93985,0,0.0642,0,0.04474,0,0.05446,0,0.01356,1,0.00247,1,0.03905,0,0.90978,0,0.03551,0,4827,29.30733,164.70282,0.19258,0,0.0313,0.34127,0.43013,0.31334,0.1764
55131440104,131,0.02195,0.0,1,0.97069,0,0.12901,0,0.06363,0,0.10485,0,0.00211,1,0.0448,1,0.01542,1,0.89758,0,0.04265,0,5614,20.64207,271.96885,0.15572,0,0.04179,0.30764,0.20926,0.12295,0.20301
55131440105,131,0.00911,0.00463,1,0.97395,0,0.03832,0,0.04153,0,0.06903,0,0.00643,1,0.01024,1,0.0272,1,0.92893,0,0.02523,0,3338,41.37058,80.68536,0.0,1,0.0335,0.26562,0.51269,0.00087,0.18237
55131440106,131,0.00681,0.01751,1,0.98496,0,0.07367,0,0.03093,1,0.06029,0,0.00262,1,0.00079,1,0.02045,1,0.97353,0,0.0295,0,3747,93.72161,39.98011,0.02587,0,0.03274,0.33294,4e-05,0.0,0.30189
55131440200,131,0.02605,0.0161,1,0.84027,0,0.09313,0,0.12201,0,0.10055,0,0.01347,1,0.00399,1,0.06562,0,0.90594,0,0.02984,0,4040,2.47513,1632.23896,0.35305,0,0.02166,0.32361,0.23515,0.2081,0.16821
55131450103,131,0.05339,0.00585,1,0.98748,0,0.13266,0,0.05387,0,0.05443,0,0.0,1,0.00816,1,0.01944,1,0.96481,0,0.0393,0,5109,55.63105,91.8372,0.0,1,0.0384,0.40215,0.25091,0.13906,0.37193
55131450104,131,0.038,0.0055,1,0.98814,0,0.05731,0,0.03497,1,0.05621,0,0.00679,1,0.01475,1,0.01372,1,0.96017,0,0.0508,0,6264,54.14612,115.68695,0.15116,0,0.04356,0.4166,0.23362,0.18123,0.39107
55131450105,131,0.01172,0.00119,1,1.0,0,0.04852,0,0.0651,1,0.05586,0,0.01502,1,0.0,1,0.00193,1,0.96418,0,0.01921,0,2588,39.13528,66.1296,0.14318,0,0.01865,0.35594,0.40585,0.0,0.30822
55131450106,131,0.04257,0.0186,1,0.97066,0,0.07147,0,0.03665,0,0.08082,0,0.00196,1,0.0,1,0.04009,1,0.95255,0,0.04381,0,5944,40.47305,146.86316,0.11404,0,0.04365,0.31879,0.46098,0.0,0.39327
55131460101,131,0.02915,0.00973,0,0.98995,0,0.07344,0,0.01877,0,0.06893,0,0.02497,1,0.00613,1,0.01256,1,0.9473,0,0.04905,0,6262,62.99714,99.40134,0.0,1,0.05293,0.41684,0.17506,0.48796,0.36508
55131460102,131,0.01856,0.00395,1,0.99053,0,0.0625,0,0.03258,0,0.07066,0,0.01649,1,0.00589,1,0.02041,1,0.95486,0,0.04036,0,5038,31.21681,161.38739,0.19243,0,0.0334,0.42299,0.41195,0.51977,0.34708
55131470100,131,0.14881,0.01237,1,0.99287,0,0.1006,0,0.01247,1,0.06234,0,0.03484,1,0.02618,1,0.042,1,0.8838,0,0.03939,0,5157,69.31364,74.40094,0.0,1,0.04938,0.37639,0.42682,0.36832,0.33969
55131470202,131,0.01382,0.0196,1,0.93964,0,0.06488,0,0.06172,0,0.0677,0,0.02223,1,0.01214,1,0.01932,1,0.93777,0,0.04376,0,6278,5.11124,1228.27259,0.24132,0,0.04043,0.37321,0.09055,0.46514,0.36466
55131470203,131,0.03424,0.02951,1,0.95981,0,0.09637,0,0.06132,0,0.03971,0,0.0356,1,0.0321,1,0.02778,1,0.86358,0,0.03459,0,4242,9.03489,469.51326,0.12171,0,0.02921,0.36997,0.4784,0.16662,0.2545
55131470204,131,0.03233,0.02886,0,0.98244,0,0.04593,0,0.02383,1,0.08683,0,0.06253,0,0.00944,1,0.02147,1,0.89924,0,0.02925,0,4326,10.37597,416.9248,0.02296,0,0.03268,0.38124,0.17894,0.26469,0.44302
