geoid,countyfp,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55087012100,87,0.01994,0.00974,1,0.93807,0,0.10227,0,0.03753,0,0.08467,0,0.0,1,0.00026,1,0.03699,0,0.94933,0,0.04335,0,7690,11.97912,641.95049,0.16852,0,0.03003,0.5443,0.37554,0.31138,0.4177
55087012200,87,0.00722,0.0,1,0.9037,0,0.11689,0,0.17467,0,0.09171,0,0.00311,1,0.0,1,0.00984,1,0.97409,0,0.01121,0,1952,1.37148,1423.28434,0.34819,0,0.00643,0.49241,0.74715,1.0,0.32688
55087012300,87,0.01097,0.0041,1,0.97879,0,0.13115,0,0.04491,1,0.08062,0,0.00375,1,0.0,1,0.0,1,0.97375,0,0.00892,0,1647,1.75499,938.46634,0.40437,0,0.00453,0.50579,0.45926,,0.40676
55087012400,87,0.01988,0.00199,1,0.98814,0,0.07781,0,0.09797,0,0.11943,0,0.0,1,0.0,1,0.03555,1,0.93545,0,0.01704,0,2654,4.67653,567.5143,0.46336,0,0.00765,0.49773,0.38115,,0.36565
55087012503,87,0.00644,0.0,1,0.99406,0,0.05484,0,0.01264,1,0.05569,0,0.03013,1,0.00161,1,0.0191,1,0.93893,0,0.01784,0,3654,5.33143,685.36992,0.08233,0,0.02114,0.3653,0.2326,0.16101,0.54074
55087012504,87,0.04108,0.00703,1,0.98121,0,0.05381,0,0.02005,1,0.0553,0,0.02461,1,0.02492,1,0.02097,1,0.92009,0,0.0186,0,3031,11.33272,267.4556,0.11301,0,0.02266,0.3368,0.23101,0.18033,0.4919
55087012505,87,0.01218,0.0145,1,0.99088,0,0.04289,0,0.03322,0,0.0712,0,0.05508,0,0.01387,1,0.03611,0,0.88066,0,0.02705,0,3094,25.4283,121.67547,0.0468,0,0.0243,0.45925,0.36698,0.39917,0.3937
55087012506,87,0.117,0.02705,1,0.94935,0,0.04918,0,0.11682,0,0.06067,0,0.14197,0,0.0087,1,0.05097,1,0.77126,0,0.02206,0,4078,11.53875,353.41776,0.13444,0,0.02215,0.39981,0.63239,0.37289,0.327
55087012601,87,0.06863,0.00403,1,0.99661,0,0.04304,0,0.03022,1,0.03832,0,0.00984,1,0.00635,1,0.01353,1,0.95307,0,0.0483,0,8333,49.93701,166.87024,0.10299,0,0.04682,0.45051,0.37172,0.29898,0.3811
55087012602,87,0.00528,0.00323,1,1.0,0,0.07719,0,0.02397,1,0.06989,0,0.00488,1,0.0,1,0.00386,1,0.98598,0,0.02756,0,4707,121.54306,38.72702,0.0672,0,0.03205,0.33035,0.44311,0.99485,0.4194
55087012700,87,0.02699,0.02706,1,0.97305,0,0.08507,0,0.04403,0,0.09847,0,0.02591,1,0.00016,1,0.05664,0,0.91038,0,0.03316,0,6282,141.56528,44.37529,0.17768,0,0.04371,0.16319,0.18265,0.0,0.16982
55087012800,87,0.0086,0.00839,0,0.97418,0,0.07288,0,0.06549,0,0.08571,0,0.00127,1,0.0,1,0.02916,0,0.95309,0,0.04317,0,7399,275.93697,26.81409,0.18634,0,0.05774,0.10758,0.0,0.0,0.19231
55087012901,87,0.01324,0.00744,1,0.96501,0,0.08413,0,0.03035,1,0.0825,0,0.0,1,0.00324,1,0.01165,1,0.97897,0,0.03196,0,5975,92.85174,64.3499,0.12237,0,0.03607,0.34159,0.20033,0.0,0.37587
55087012902,87,0.00371,0.00384,1,0.99092,0,0.06355,0,0.06583,1,0.08675,0,0.0,1,0.00167,1,0.00558,1,0.98968,0,0.02042,0,3425,92.29078,37.11096,0.12581,0,0.026,0.2571,0.0,0.0,0.20988
55087013100,87,0.02025,0.00619,1,0.95284,0,0.06119,0,0.06235,0,0.09901,0,0.0,1,0.00253,1,0.01431,1,0.90015,0,0.03338,0,5814,129.41722,44.92447,0.19078,0,0.0359,0.26258,0.3332,,0.22109
55087013200,87,0.00439,0.04061,0,0.98106,0,0.10503,0,0.08236,0,0.09049,0,0.00103,1,0.00207,1,0.06903,0,0.91468,0,0.02144,0,3949,343.60352,11.4929,0.22397,0,0.02868,0.05161,0.0,0.0,0.06892
55087013300,87,0.03396,0.00627,1,0.98264,0,0.05854,0,0.02195,0,0.0803,0,0.02149,1,0.0,1,0.02281,0,0.94146,0,0.04022,0,6551,105.91484,61.85158,0.05819,0,0.04781,0.32759,0.21299,0.08915,0.26546
55087940000,87,0.00819,0.00718,1,0.97057,0,0.12587,0,0.1361,0,0.09896,0,0.0,1,0.01081,1,0.04047,0,0.50095,0,0.02519,0,4678,157.65929,29.67158,0.31067,0,0.02567,0.18103,0.07692,1.0,0.1896
