Unnamed: 0,name,address,lat,lon
1,,11053 E WILLOW DR WHITEWATER WI 53190,42.78931,-88.82785
2,,5102 S COUNTY ROAD D AFTON WI 53501,42.60609,-89.07233
3,,3622 S CARVERS ROCK RD AVALON WI 53505,42.62405,-88.81576
4,,2460 MILWAUKEE RD BELOIT WI 53511,42.51807,-88.99552
5,,845 HACKETT ST BELOIT WI 53511,42.50671,-89.05054
6,,1133 E INMAN PKWY BELOIT WI 53511,42.55485,-89.02294
7,,6916 S COUNTY ROAD J BELOIT WI 53511,42.57776,-88.94377
8,,9528 W BELOIT NEWARK RD BELOIT WI 53511,42.54162,-89.18775
9,,16513 W BELOIT NEWARK RD BRODHEAD WI 53520,42.54274,-89.32548
10,,8647 E COUNTY ROAD X CLINTON WI 53525,42.55582,-88.87989
11,,301 CROSS ST CLINTON WI 53525,42.5546,-88.86912
12,,2738 W FULTON CENTER DR EDGERTON WI 53534,42.79418,-89.05582
13,,8809 N WILDER RD EDGERTON WI 53534,42.79997,-89.22128
14,,102 MAPLE ST EVANSVILLE WI 53536,42.77865,-89.29711
15,,425 WATER ST EVANSVILLE WI 53536,42.77676,-89.28717
16,,9119 W COUNTY ROAD A EVANSVILLE WI 53536,42.70863,-89.18128
17,,14729 W COUNTY ROAD A EVANSVILLE WI 53536,42.71561,-89.29217
18,,261 N GILBERT ST FOOTVILLE WI 53537,42.6749,-89.20921
19,,2500 MILTON AVE JANESVILLE WI 53545,42.71069,-88.99973
20,,316 S MAIN ST JANESVILLE WI 53545,42.67913,-89.01898
21,,1900 CENTER AVE JANESVILLE WI 53546,42.65082,-89.03302
22,,3610 S LAPRAIRIE TOWN HALL RD JANESVILLE WI 53546,42.62697,-88.95341
23,,440 N US HIGHWAY 14 JANESVILLE WI 53546,42.68475,-88.95279
24,,9937 E COUNTY ROAD A JANESVILLE WI 53546,42.69745,-88.84884
25,,18 N JACKSON ST JANESVILLE WI 53548,42.68218,-89.02682
26,,1628 N LITTLE CT JANESVILLE WI 53548,42.70058,-89.1027
27,,710 S JANESVILLE ST MILTON WI 53563,42.77021,-88.93619
28,,23 1ST ST MILTON WI 53563,42.78231,-88.96183
29,,303 E BELOIT ST ORFORDVILLE WI 53576,42.62711,-89.25299
30,,173 N WRIGHT ST ORFORDVILLE WI 53576,42.62911,-89.25515
31,,8219 HIGH ST ORFORDVILLE WI 53576,42.63702,-89.16303
