Unnamed: 0,name,address,lat,lon
1,,171 MAIN ST BELGIUM WI 53004,43.4991,-87.83736
2,,104 PETER THEIN AVE BELGIUM WI 53004,43.50378,-87.83442
3,,W63N641 WASHINGTON AVE CEDARBURG WI 53012,43.29874,-87.9887
4,,1293 WASHINGTON AVE CEDARBURG WI 53012,43.32184,-88.00607
5,,6261 STATE ROAD 60 CEDARBURG WI 53012,43.32235,-87.98856
6,,242 FREDONIA AVE FREDONIA WI 53021,43.47082,-87.947
7,,242 FREDONIA AVE FREDONIA WI 53021,43.47082,-87.947
8,,1230 11TH AVE GRAFTON WI 53024,43.31869,-87.95268
9,,715 6TH AVE GRAFTON WI 53024,43.33011,-87.95959
10,,1525 N GRANT ST PORT WASHINGTON WI 53074,43.40597,-87.88156
11,,100 W GRAND AVE PORT WASHINGTON WI 53074,43.38786,-87.87128
12,,505 W GRAND AVE PORT WASHINGTON WI 53074,43.38665,-87.87948
13,,3715 HIGHLAND DR PORT WASHINGTON WI 53074,43.4144,-87.87007
14,,3762 LAKELAND RD SAUKVILLE WI 53080,43.41395,-87.99442
15,,601 W DEKORA ST SAUKVILLE WI 53080,43.38362,-87.9532
16,,250 ELM ST THIENSVILLE WI 53092,43.23247,-87.97888
17,,11333 N CEDARBURG RD MEQUON WI 53092,43.22319,-87.98439
18,,2750 W MEQUON RD MEQUON WI 53092,43.22333,-87.9445
19,,11040 N RANGE LINE RD MEQUON WI 53092,43.2191,-87.9413
20,,10729 W FREISTADT RD MEQUON WI 53097,43.23512,-88.04448
21,,6031 W CHAPEL HILL RD MEQUON WI 53097,43.25195,-87.98489
22,,13800 N PORT WASHINGTON RD MEQUON WI 53097,43.26924,-87.92314
23,,8200 W COUNTY LINE RD MEQUON WI 53097,43.19326,-88.01018
24,,9075 N REGENT RD BAYSIDE WI 53217,43.18226,-87.90597
